tag,class,text_preview,is_valid,type
div,w-hwrapper usg_hwrapper_2 align_none valign_middle,$ 346.700,,
span,woocommerce-Price-amount amount,346.700,,
div,w-vwrapper usg_vwrapper_1 align_none valign_top,Combo Logitech Teclado Y Mouse…$ 59.610,,
div,w-hwrapper usg_hwrapper_2 align_none valign_middle,$ 59.610,,
span,woocommerce-Price-amount amount,59.610,,
div,w-vwrapper usg_vwrapper_1 align_none valign_top,Combo Logitech Teclado Y Mouse…$ 17.950,,
div,w-hwrapper usg_hwrapper_2 align_none valign_middle,$ 17.950,,
span,woocommerce-Price-amount amount,17.950,,
div,wpb_text_column,ENCONTRANOS,,
div,wpb_text_column,PROMOS & FINANCIACIÓN,,
div,wpb_text_column,Cuota simple,,
div,wpb_text_column,Recibí ofertas exclusivas y más!,,
div,w-form-row for_submit align_center,Confirmar,,
div,l-section-h i-cf,BLACKBEAR SAS,,
a,w-text-h wp-dark-mode-bg-image,perm_identity,,
span,w-btn-label wp-dark-mode-bg-image,Sarmiento 986,Córdoba Ciudad,
option,wp-dark-mode-bg-image,Por defecto,,
div,wpb_text_column us_custom_a6efe81c has_text_color us_animate_this wp-dark-mode-bg-image,Enterate de lo último en tecnología,,
div,w-form-row for_email has_label required wp-dark-mode-bg-image,E-mail *,,
div,w-socials-item twitter wp-dark-mode-bg-image,X,,
div,w-socials-item pinterest wp-dark-mode-bg-image,Pinterest,,
span,wp-dark-mode-bg-image,MaxTecno,,
div,w-btn-wrapper align_left wp-dark-mode-bg-image,Datos Bancarios,,
a,wp-dark-mode-bg-image,Quienes Somos,,
a,wp-dark-mode-bg-image,Trabaja con nosotros,,
span,wp-dark-mode-bg-image,VENTAS 1:,,
span,wp-dark-mode-bg-image,VENTAS 3:,,
span,wp-dark-mode-bg-image,ADMINISTRACION:,,
strong,wp-dark-mode-bg-image,MAX ATENCION ON LINE:,,
span,wp-dark-mode-bg-image,Ventas 1:,,
span,wp-dark-mode-bg-image,Ventas 2:,,
span,wp-dark-mode-bg-image,Ventas 3:,,
span,wp-dark-mode-bg-image,Administración:,,
a,floating_button,Hablemos!,,
div,panel panel-default panel-rose ,Alfombra gamer (2),,
a,menu-item waves-effect waves-light,Camaras Web (2),,
a,menu-item waves-effect waves-light,Combo Gamer Auricular - Mouse - Mouse Pad (2),,
a,menu-item waves-effect waves-light,Combo Gamer Mouse - Teclado - Auricular - Pad (2),,
a,menu-item waves-effect waves-light,Combo Mouse Y Mouse Pad Gamer (2),,
a,menu-item waves-effect waves-light,Kit Teclado Y Mouse (2),,
a,menu-item waves-effect waves-light,Microfonos (2),,
a,menu-item waves-effect waves-light,Mouse (2),,
a,menu-item waves-effect waves-light,Mouse Gamer (2),,
a,menu-item waves-effect waves-light,Mouse Pad Gamer (2),,
a,menu-item waves-effect waves-light,Pad Mouse (2),,
a,menu-item waves-effect waves-light,Palanca De Cambio (2),,
a,menu-item waves-effect waves-light,Tabletas Graficas (2),,
a,menu-item waves-effect waves-light,Teclados (2),,
a,menu-item waves-effect waves-light,Teclados Gamer (2),,
a,menu-item waves-effect waves-light,Volantes (2),,
div,col-lg-12 px-0 mansory **,Llega el Lunes                                           ,,
div,view overlay px-20 imagen,Llega el Lunes,,
div,card-body px-3 pb-0 pt-0,70                                                    ,,
h4,card-title mb-1 h-40*,Pad Mouse Lisos Antideslizante Escritorio Pc Gtc Caballito,,
div,card-footer justify-content-between p-0,$3213$3213$2892Precio especial,,
h4,mt-0 pecio_final ft,$2892Precio especial,,
div,card-body px-3 pb-0 pt-0,6971071740246                                                    ,,
span,pull-left articulo_field,6971071740246,,
h4,card-title mb-1 h-40*,Mouse Gamer Wesdar Cerberus X4 Blanco 2400 Dpi,,
div,card-footer justify-content-between p-0,$4922$4922$4430Precio especial,,
h4,mt-0 pecio_final ft,$4430Precio especial,,
div,card-body px-3 pb-0 pt-0,6971071744060                                                    ,,
span,pull-left articulo_field,6971071744060,,
h4,card-title mb-1 h-40*,Mouse Gamer Wesdar Gm2 Rgb Verde Megasoft,,
div,card-footer justify-content-between p-0,$6142$6142$5528Precio especial,,
h4,mt-0 pecio_final ft,$5528Precio especial,,
div,card-body px-3 pb-0 pt-0,6971071740239                                                    ,,
span,pull-left articulo_field,6971071740239,,
h4,card-title mb-1 h-40*,Mouse Gamer Wesdar 6 Botones Usb Pc Oficina 2400 Dpi Optico,,
div,card-footer justify-content-between p-0,$6425$6425$5783Precio especial,,
h4,mt-0 pecio_final ft,$5783Precio especial,,
div,card-body px-3 pb-0 pt-0,180552                                                    ,,
span,pull-left articulo_field,180552,,
h4,card-title mb-1 h-40*,MOUSE GAMER Y PAD GAMER WESDAR MEGASOFT,,
div,card-footer justify-content-between p-0,$6541$6541$5887Precio especial,,
h4,mt-0 pecio_final ft,$5887Precio especial,,
div,card-body px-3 pb-0 pt-0,6971071745388                                                    ,,
span,pull-left articulo_field,6971071745388,,
h4,card-title mb-1 h-40*,Combo Gamer Mouse Usb Wesdar 2400 Dpi + Pad Negro Megasoft,,
div,card-footer justify-content-between p-0,$6554$6554$5899Precio especial,,
h4,mt-0 pecio_final ft,$5899Precio especial,,
div,card-body px-3 pb-0 pt-0,7798333606152                                                    ,,
span,pull-left articulo_field,7798333606152,,
h4,card-title mb-1 h-40*,Mouse Gamer Para Pc Game Pro 12000dpi Con Rgb Cable 1.5 Mts Color Negro,,
div,card-footer justify-content-between p-0,$7389$7389$6650Precio especial,,
h4,mt-0 pecio_final ft,$6650Precio especial,,
div,card-body px-3 pb-0 pt-0,097855102355                                                    ,,
span,pull-left articulo_field,097855102355,,
h4,card-title mb-1 h-40*,Mouse Logitech M90 Optico Usb 1000dpi Pc Notebook Megasoft,,
div,card-footer justify-content-between p-0,$8995$8995$8096Precio especial,,
h4,mt-0 pecio_final ft,$8096Precio especial,,
div,card-body px-3 pb-0 pt-0,8072023053105                                                    ,,
span,pull-left articulo_field,8072023053105,,
h4,card-title mb-1 h-40*,Mouse Inalámbrico Usb Gtc Mig-122 Rosa Megasoft Caballito,,
div,card-body px-3 pb-0 pt-0,8072023053129                                                    ,,
span,pull-left articulo_field,8072023053129,,
h4,card-title mb-1 h-40*,Mouse Inalámbrico Usb Gtc Mig-122 Blanco Megasoft Caballito,,
div,card-body px-3 pb-0 pt-0,179549                                                    ,,
span,pull-left articulo_field,179549,,
h4,card-title mb-1 h-40*,Mouse pad Gamer Rgb Gtc Luz 795 x 300 x 4 Antideslizante,,
div,card-footer justify-content-between p-0,$9830$9830$8847Precio especial,,
h4,mt-0 pecio_final ft,$8847Precio especial,,
div,card-body px-3 pb-0 pt-0,8072022092808                                                    ,,
span,pull-left articulo_field,8072022092808,,
h4,card-title mb-1 h-40*,Mousepad Xl Gtc Pad-013d Negro 79.5x30 Megasoft Caballito,,
div,card-body px-3 pb-0 pt-0,8072018224336                                                    ,,
span,pull-left articulo_field,8072018224336,,
h4,card-title mb-1 h-40*,Mouse Inalambrico Optico Usb Gtc Economico 1200 Dpi Color Rosa,,
div,card-footer justify-content-between p-0,$14135$14135$12722Precio especial,,
h4,mt-0 pecio_final ft,$12722Precio especial,,
h4,card-title mb-1 h-40*,Mouse Inalambrico Usb Rosa Mig-116 Gtc Megasoft Caballito,,
div,card-body px-3 pb-0 pt-0,8072023060226                                                    ,,
span,pull-left articulo_field,8072023060226,,
h4,card-title mb-1 h-40*,Combo Inalámbrico Teclado + Mouse Gtc Kbg-024 Negro Megasoft,,
div,card-body px-3 pb-0 pt-0,7798162837000                                                    ,,
span,pull-left articulo_field,7798162837000,,
h4,card-title mb-1 h-40*,Set De Keycaps Nisuta Nskbgz108 Megasoft Caballito,,
div,card-footer justify-content-between p-0,$14500$14500$13050Precio especial,,
h4,mt-0 pecio_final ft,$13050Precio especial,,
div,card-body px-3 pb-0 pt-0,097855200655                                                    ,,
span,pull-left articulo_field,097855200655,,
h4,card-title mb-1 h-40*,Mouse Bluetooth Logitech M196 Color Rosa,,
div,card-footer justify-content-between p-0,$14700$14700$13230Precio especial,,
h4,mt-0 pecio_final ft,$13230Precio especial,,
div,card-body px-3 pb-0 pt-0,097855177575                                                    ,,
span,pull-left articulo_field,097855177575,,
h4,card-title mb-1 h-40*,Mouse Pad Gaming Logitech G240 Negro Megasoft Caballito,,
div,card-footer justify-content-between p-0,$17500$17500$15750Precio especial,,
h4,mt-0 pecio_final ft,$15750Precio especial,,
div,card-body px-3 pb-0 pt-0,097855169433                                                    ,,
span,pull-left articulo_field,097855169433,,
h4,card-title mb-1 h-40*,Mousepad Logitech Rosa 200 X 230mm Megasoft Caballito,,
div,card-footer justify-content-between p-0,$17797$17797$16017Precio especial,,
h4,mt-0 pecio_final ft,$16017Precio especial,,
div,card-body px-3 pb-0 pt-0,097855183453                                                    ,,
span,pull-left articulo_field,097855183453,,
h4,card-title mb-1 h-40*,Mouse M170 Logitech Inalámbrico Color Blue Grey,,
div,card-footer justify-content-between p-0,$20560$20560$18504Precio especial,,
h4,mt-0 pecio_final ft,$18504Precio especial,,
div,card-body px-3 pb-0 pt-0,8072019110829                                                    ,,
span,pull-left articulo_field,8072019110829,,
h4,card-title mb-1 h-40*,Combo Gaming Gtc Cbg-014 Teclado Mouse Auricular Y Pad,,
div,card-footer justify-content-between p-0,$24582$24582$22124Precio especial,,
h4,mt-0 pecio_final ft,$22124Precio especial,,
div,card-body px-3 pb-0 pt-0,097855185624                                                    ,,
span,pull-left articulo_field,097855185624,,
h4,card-title mb-1 h-40*,Mouse Inalámbrico Logitech Pebble 2 M350 Negro Megasoft,,
div,card-footer justify-content-between p-0,$29555$29555$26600Precio especial,,
h4,mt-0 pecio_final ft,$26600Precio especial,,
div,card-body px-3 pb-0 pt-0,180434                                                    ,,
span,pull-left articulo_field,180434,,
h4,card-title mb-1 h-40*,Teclado Raptor Fireclaw M87 Mecanico Retroiluminado Switch Red Outemu,,
div,card-footer justify-content-between p-0,$30198$30198$27178Precio especial,,
h4,mt-0 pecio_final ft,$27178Precio especial,,
div,card-body px-3 pb-0 pt-0,8072021022608                                                    ,,
span,pull-left articulo_field,8072021022608,,
h4,card-title mb-1 h-40*,Combo Gaming Gtc Cbg-021 Teclado Mouse Auricular Y Pad,,
div,card-footer justify-content-between p-0,$30737$30737$27663Precio especial,,
h4,mt-0 pecio_final ft,$27663Precio especial,,
div,card-body px-3 pb-0 pt-0,097855070739                                                    ,,
span,pull-left articulo_field,097855070739,,
h4,card-title mb-1 h-40*,Camara Web Cam Logitech C270 720p Hd Twitch Skype Caballito,,
div,card-footer justify-content-between p-0,$36263$36263$32637Precio especial,,
h4,mt-0 pecio_final ft,$32637Precio especial,,
div,card-body px-3 pb-0 pt-0,097855171627                                                    ,,
span,pull-left articulo_field,097855171627,,
h4,card-title mb-1 h-40*,Mousepad Logitech Xl 70x30cm Rosa Megasoft Caballito,,
div,card-footer justify-content-between p-0,$37265$37265$33539Precio especial,,
h4,mt-0 pecio_final ft,$33539Precio especial,,
div,card-body px-3 pb-0 pt-0,180580                                                    ,,
span,pull-left articulo_field,180580,,
h4,card-title mb-1 h-40*,Teclado Raptor Fireclaw M68 Wireless Mecanico Retroiluminado Red Outemu,,
div,card-footer justify-content-between p-0,$38550$38550$34695Precio especial,,
h4,mt-0 pecio_final ft,$34695Precio especial,,
div,card-body px-3 pb-0 pt-0,8886419333326                                                    ,,
span,pull-left articulo_field,8886419333326,,
h4,card-title mb-1 h-40*,Mouse Gamer Razer Deathadder Essential White Edition Color Blanco,,
div,card-footer justify-content-between p-0,$39835$39835$35852Precio especial,,
h4,mt-0 pecio_final ft,$35852Precio especial,,
div,card-body px-3 pb-0 pt-0,180427                                                    ,,
span,pull-left articulo_field,180427,,
h4,card-title mb-1 h-40*,Microfono Raptor Vox RGB USB p/Streaming,,
div,card-footer justify-content-between p-0,$41763$41763$37587Precio especial,,
h4,mt-0 pecio_final ft,$37587Precio especial,,
div,card-body px-3 pb-0 pt-0,097855186355                                                    ,,
span,pull-left articulo_field,097855186355,,
h4,card-title mb-1 h-40*,Teclado Logitech Pebble 2 K380s White/blanco Bluetooth,,
div,card-footer justify-content-between p-0,$47545$47545$42791Precio especial,,
h4,mt-0 pecio_final ft,$42791Precio especial,,
div,card-body px-3 pb-0 pt-0,097855186379                                                    ,,
span,pull-left articulo_field,097855186379,,
h4,card-title mb-1 h-40*,Teclado Bluetooth Logitech Pebble Keys 2 K380s Rosa Megasoft,,
div,card-footer justify-content-between p-0,$48316$48316$43484Precio especial,,
h4,mt-0 pecio_final ft,$43484Precio especial,,
div,card-body px-3 pb-0 pt-0,177989                                                    ,,
span,pull-left articulo_field,177989,,
h4,card-title mb-1 h-40*,Teclado Trust Lyra Bluetooth Recargable Español - Pc Celular,,
div,card-footer justify-content-between p-0,$52685$52685$47417Precio especial,,
h4,mt-0 pecio_final ft,$47417Precio especial,,
div,card-body px-3 pb-0 pt-0,178487                                                    ,,
span,pull-left articulo_field,178487,,
h4,card-title mb-1 h-40*,MOUSE GAMER CORSAIR HARPOON RGB PRO FPS/MOBA BLACK,,
div,card-footer justify-content-between p-0,$53970$53970$48573Precio especial,,
h4,mt-0 pecio_final ft,$48573Precio especial,,
div,card-body px-3 pb-0 pt-0,8886419334095                                                    ,,
span,pull-left articulo_field,8886419334095,,
h4,card-title mb-1 h-40*,Mouse Razer Cobra Lightweight Chroma Rgb,,
div,card-footer justify-content-between p-0,$55255$55255$49730Precio especial,,
h4,mt-0 pecio_final ft,$49730Precio especial,,
div,card-body px-3 pb-0 pt-0,179785                                                    ,,
span,pull-left articulo_field,179785,,
h4,card-title mb-1 h-40*,MICROFONO TRUST YUNIX USB PURPLE GXT234P,,
div,card-footer justify-content-between p-0,$57825$57825$52043Precio especial,,
h4,mt-0 pecio_final ft,$52043Precio especial,,
div,card-body px-3 pb-0 pt-0,179283                                                    ,,
span,pull-left articulo_field,179283,,
h4,card-title mb-1 h-40*,Tableta Gráfica Wacom One Small CTL472,,
div,card-body px-3 pb-0 pt-0,179786                                                    ,,
span,pull-left articulo_field,179786,,
h4,card-title mb-1 h-40*,MICROFONO TRUST YUNIX USB BLACK GXT234,,
div,card-body px-3 pb-0 pt-0,178506                                                    ,,
span,pull-left articulo_field,178506,,
h4,card-title mb-1 h-40*,MOUSE GAMER CORSAIR M55 PRO RGB MULTIGRIP AMBIDIESTRO BLACK,,
div,card-footer justify-content-between p-0,$60395$60395$54356Precio especial,,
h4,mt-0 pecio_final ft,$54356Precio especial,,
div,card-body px-3 pb-0 pt-0,7798162836584                                                    ,,
span,pull-left articulo_field,7798162836584,,
h4,card-title mb-1 h-40*,Teclado Mecánico Gamer Nisuta Usb Rosa Rgb Megasoft,,
div,card-footer justify-content-between p-0,$66111$66111$59500Precio especial,,
h4,mt-0 pecio_final ft,$59500Precio especial,,
div,card-body px-3 pb-0 pt-0,179003                                                    ,,
span,pull-left articulo_field,179003,,
h4,card-title mb-1 h-40*,Mouse Trust Ozaa+multi-connect Wireless White,,
div,card-footer justify-content-between p-0,$77100$77100$69390Precio especial,,
h4,mt-0 pecio_final ft,$69390Precio especial,,
div,card-body px-3 pb-0 pt-0,179004                                                    ,,
span,pull-left articulo_field,179004,,
h4,card-title mb-1 h-40*,Mouse Trust Ozaa+multi-connect Wireless Black,,
div,card-body px-3 pb-0 pt-0,097855176899                                                    ,,
span,pull-left articulo_field,097855176899,,
h4,card-title mb-1 h-40*,Micrófono Para Pc Logitech Blue Snowball Ice Negro Megasoft,,
div,card-body px-3 pb-0 pt-0,097855192318                                                    ,,
span,pull-left articulo_field,097855192318,,
h4,card-title mb-1 h-40*,Mouse Logitech G309 Inalámbrico Gaming Lightspeed Negro,,
div,card-footer justify-content-between p-0,$83525$83525$75173Precio especial,,
h4,mt-0 pecio_final ft,$75173Precio especial,,
div,card-body px-3 pb-0 pt-0,097855192325                                                    ,,
span,pull-left articulo_field,097855192325,,
h4,card-title mb-1 h-40*,Mouse Gamer Inalámbrico Logitech G309 Lightspeed Hero Blanco,,
div,card-body px-3 pb-0 pt-0,94038588027                                                    ,,
span,pull-left articulo_field,94038588027,,
h4,card-title mb-1 h-40*,Mouse Gamer Razer Basilisk V3 26000 Dpi Rgb 11 Zonas Cable Color Negro,,
div,card-footer justify-content-between p-0,$92392$92392$83153Precio especial,,
h4,mt-0 pecio_final ft,$83153Precio especial,,
div,card-body px-3 pb-0 pt-0,178155                                                    ,,
span,pull-left articulo_field,178155,,
h4,card-title mb-1 h-40*,MICROFONO TRUST VELICA STREAMING GXT241,,
div,card-footer justify-content-between p-0,$96375$96375$86738Precio especial,,
h4,mt-0 pecio_final ft,$86738Precio especial,,
div,card-body px-3 pb-0 pt-0,3113                                                    ,,
span,pull-left articulo_field,3113,,
h4,card-title mb-1 h-40*,Combo Teclado Y Mouse Logitech Pop Icon  Español  Blanco,,
div,card-body px-3 pb-0 pt-0,097855199874                                                    ,,
span,pull-left articulo_field,097855199874,,
h4,card-title mb-1 h-40*,Combo Teclado Y Mouse Logitech Pop Icon  Español  Rosado,,
div,card-footer justify-content-between p-0,$98945$98945$89051Precio especial,,
h4,mt-0 pecio_final ft,$89051Precio especial,,
h5,t-shadow mt-0 mb-0,1167950226 (solo texto),,
h5,t-shadow mt-0 mb-0,Lunes a Viernes de 10:00 a 18:00,,
div,col-md-12 col-xl-3 sub-menu my-xl-3 mt-md-3 mt-0 mb-0,Notebooks PCs All in One  PCs Mini  Motherboards Procesadores Memorias Ram Almacenamiento,,
a,menu-item waves-effect waves-light,PCs All in One,,
a,menu-item waves-effect waves-light,PCs Mini,,
div,col-md-12 col-xl-3 sub-menu my-xl-3 mt-md-3 mt-0 mb-0,Placas de Video Fuentes de Poder Gabinetes Refrigeración PC Combos Actualización PC Teclados,Mouses,
a,menu-item waves-effect waves-light,Fuentes de Poder,,
a,menu-item waves-effect waves-light,Combos Actualización PC,,
a,menu-item waves-effect waves-light,Cámaras Web e IP,,
a,menu-item waves-effect waves-light,Impresoras y Plotters,,
a,menu-item waves-effect waves-light,Ups y Estabilizadores,,
div,col-md-12 col-xl-3 sub-menu my-xl-3 mt-md-3 mt-0 mb-0,Volantes y Gamepads Parlantes y Audio Proyectores  Software Tablets y eBooks Tabletas Gráficas Outle,,
a,menu-item waves-effect waves-light,Volantes y Gamepads,,
a,menu-item waves-effect waves-light,Parlantes y Audio,,
a,menu-item waves-effect waves-light,Tablets y eBooks,,
div,row mx-md-4 mx-1,Hogar y OficinaGamersPro Gamers,,
li,PC Armadas,Hogar y Oficina,,
li,PC Armadas,Gamers,,
li,PC Armadas,Pro Gamers,,
div,row mx-md-4 mx-1,Gabinetes Motherboards Procesadores Memorias Ram Almacenamiento Placas de Video Fuentes de Poder Ref,,
div,row,Hannever,,
li,col-12,seagate,,
li,col-12,Asus Notebooks,,
li,pl-0,Facturas,,
li,pl-0,Preguntas,,
li,pl-0,Favoritos,,
li,pl-0,Canje de juegos,,
li,col-12,Quiero Preguntar,,
li,col-12,Quiero que me llamen,,
li,col-12,Quiero solicitar un turno,,
div,panel panel-default panel-rose panel-carac,Subcategoría,,
div,panel-body pl-0 pr-0,Intel Core i5 (4),,
span,bmd-form-group is-filled,Intel Core i7 (1),,
span,bmd-form-group is-filled,Amd Ryzen 5 (4),,
span,bmd-form-group is-filled,Amd Ryzen 7 (7),,
div,panel panel-default panel-rose panel-marca,Categoría:,,
div,panel-body pl-0 pr-0,Pc Hogar y Oficina (27),,
span,bmd-form-group is-filled,Gamers (12),,
span,fillNumCount,(12),,
span,bmd-form-group is-filled,Pro Gamers (16),,
span,fillNumCount,(16),,
span,bmd-form-group is-filled,Precios Killers (2),,
div,col-lg-12 mb-2 pull-right,12Todo,,
span,en_stock,11% OFF,,
h4,card-title mb-1 h-a,Pc Intel Core i5 14600K-B760-16Gb-RTX4060-Ssd 1TB,,
div,card-description combos lh-18,• Motherboard 1700 14°Gen - Msi B760M-P PRO DDR4 • Procesador Intel Core i5 14600K 5.3 Ghz Raptor La,,
div,card-footer justify-content-between p-0,¡12 cuotas sin interés!$1.569.819Precio Especial,,
h4,mt-0 mb-0,$1.569.819Precio Especial,,
h4,card-title mb-1 h-a,Pc Intel Core i5 14600K-32Gb-RTX 5060TI- 2TB- 750W,,
div,card-footer justify-content-between p-0,¡12 cuotas sin interés!$1.812.039Precio Especial,,
h4,mt-0 mb-0,$1.812.039Precio Especial,,
h4,card-title mb-1 h-a,Pc Amd Ryzen 5 5600X-A520-8Gb-RTX5060ti - 750W,,
div,card-description combos lh-18,• Motherboard AM4 - Gigabyte A520M-K V2 • Procesador Amd Ryzen 5 5600X 3.7 Ghz - AM4 Sin Gpu • Memor,,
div,card-footer justify-content-between p-0,¡12 cuotas sin interés!$1.350.619Precio Especial,,
h4,mt-0 mb-0,$1.350.619Precio Especial,,
h4,card-title mb-1 h-a,Pc Amd Ryzen 5 5600X-A520-16Gb-RTX4060 8GB,,
div,card-footer justify-content-between p-0,¡12 cuotas sin interés!$1.111.569Precio Especial,,
h4,mt-0 mb-0,$1.111.569Precio Especial,,
h4,card-title mb-1 h-a,Pc Intel Core i5 10400-H510-16Gb-RTX3050-1TB,,
div,card-description combos lh-18,• Motherboard 1200 10° Gen - Msi PRO H510M-B II • Procesador Intel Core i5 10400 4.3 Ghz Comet Lake ,,
div,card-footer justify-content-between p-0,¡12 cuotas sin interés!$921.939Precio Especial,,
h4,mt-0 mb-0,$921.939Precio Especial,,
h4,card-title mb-1 h-a,Pc Intel Core i7 12700-B760-32Gb-RTX5060ti-1Tb,,
div,card-description combos lh-18,• Motherboard 1700 14°Gen - Msi Pro H610M-S DDR4 • Procesador Intel Core i7 12700 4.4 Ghz Alder Lake,,
div,card-footer justify-content-between p-0,¡12 cuotas sin interés!$1.605.809Precio Especial,,
h4,mt-0 mb-0,$1.605.809Precio Especial,,
h4,card-title mb-1 h-a,Pc Amd Ryzen 7 8700F-B620-32GB-RTX4060,,
div,card-description combos lh-18,• Motherboard AM5 - Msi PRO A620M-E • Procesador Amd Ryzen 7 8700F 5.0 Ghz - AM5 Sin Video • Memoria,,
div,card-footer justify-content-between p-0,¡12 cuotas sin interés!$1.530.169Precio Especial,,
h4,mt-0 mb-0,$1.530.169Precio Especial,,
h4,card-title mb-1 h-a,GP9900  Amd Ryzen 5 8500G-B620-16Gb-1tb,,
div,card-description combos lh-18,• Motherboard AM5 - Biostar A620MH Aurora  • Procesador Amd Ryzen 5 8500G 5.0 Ghz - AM5 • Memoria Ra,,
div,stars etiquetaEnvioNormal,Envío rápido,,
div,card-footer justify-content-between p-0,¡12 cuotas sin interés!$697.569Precio Especial,,
h4,mt-0 mb-0,$697.569Precio Especial,,
h4,card-title mb-1 h-a,Pc Amd Ryzen 5 5600GT-A520-32Gb-RTX4060,,
div,card-description combos lh-18,• Motherboard AM4 - Gigabyte A520M-K V2 • Procesador Amd Ryzen 5 5600GT 4.6 Ghz - AM4 • Memoria Ram ,,
div,card-footer justify-content-between p-0,¡12 cuotas sin interés!$1.166.859Precio Especial,,
h4,mt-0 mb-0,$1.166.859Precio Especial,,
h4,card-title mb-1 h-a,Pc Amd Ryzen 7 8700F-32Gb-RTX4060-2TB-700W,,
div,card-footer justify-content-between p-0,¡12 cuotas sin interés!$1.559.149Precio Especial,,
h4,mt-0 mb-0,$1.559.149Precio Especial,,
h4,card-title mb-1 h-a,Pc Intel Core Ultra 5 245K-32Gb-RTX5080-1TB-850W,,
div,card-description combos lh-18,• Motherboard Intel Socket LGA1851 - Asus Prime Z890-P WIFI  • Procesador Intel Core Ultra 5 245K 5.,,
div,card-footer justify-content-between p-0,¡12 cuotas sin interés!$3.834.089Precio Especial,,
h4,mt-0 mb-0,$3.834.089Precio Especial,,
h4,card-title mb-1 h-a,Pc AMD Ryzen 7 5700X-32Gb-RTX4060-1TB-700W,,
div,card-description combos lh-18,• Motherboard AM4 - Asus Prime A520M-K CSM • Procesador Amd Ryzen 7 5700X 4.6 Ghz - AM4 Sin Cooler •,,
div,card-footer justify-content-between p-0,¡12 cuotas sin interés!$1.368.549Precio Especial,,
h4,mt-0 mb-0,$1.368.549Precio Especial,,
h3,card-title,HOGAR Y EMPRESA,,
p,card-description,Los mejores equipos para tu hogar u oficina,,
a,btn btn-mexx btn-sm,ver todas,,
h3,card-title,ENTRETENIMIENTO,,
p,card-description,Todo el poder que necesitas para tus juegos!,,
h3,card-title,GAMERS XTREME,,
p,card-description,Nadie te puede parar,armado hasta los dientes!,
div,col-md-3 ml-auto mr-auto caja4segunda col-sm-offset-1,QUIERO PREGUNTAR,,
div,col-md-3 ml-auto mr-auto ,QUIERO QUE ME LLAMEN,,
div,col-md-3 ml-auto mr-auto,MEXX EMPRESAS,,
div,col-md-12 ,Mantener iniciado,,
h4,mt-1,REGISTRARSE,,
div,invalid-feedback,Correo electrónico no válido,,
div,valid-feedback,Correo electrónico válido,,
button,btn btn-social btn-fill btn-google,Ingresar con  Google,,
div,modal-header,Calculador de cuotas,,
div,row,Tarjeta,,
div,col-md-6 col-xs-12,Banco,,
div,col-md-10,Precios finales,,
label,control-label btns,Cuotas de:,,
div,resultNote small mb-4,Costo calculado por una unidad.,,
h4,my-0,Calculá tu cuota abonando en el local sobre el precio de lista,,
span,col-md-12 px-0 mt-2 titulo px-0 pull-left,PRECIO ESPECIAL $,,
span,col-md-12 px-0 a12-vigente pull-left,Efectivo Transferencia o deposito bancarioTarjeta de débito o Crédito en 1 pago.,,
span,col-md-12 mt-0 titulo px-0 pull-left mt-3,¡PAGANDO EN NUESTRA WEB!,,
div,col-lg-12 pl-0,* campos obligatorios,,
div,col-lg-6 pull-left mt-4 pl-0,*Nombre,,
div,col-lg-6 pull-left mt-4 pl-0,*Cod área:,,
div,col-lg-7 pull-left mt-4 pl-0,*Celular:,,
div,modal-dialog,Seleccione el área,,
div,modal-body,Venta,,
div,col-lg-12 mt-3 pl-0,Solicitar Turno,,
div,col-lg-6 pull-left mt-4 pl-0,Post Venta,,
div,col-lg-6 pull-left mt-4 pl-0,*Nombre y Apellido,,
div,col-lg-6 pull-left mt-4 pl-0,*Tel:,,
div,col-lg-6 pull-left mt-4 pl-0,*N° de Orden,,
div,col-md-12 pl-0 mt-4 mb-4,AdjuntarFactura:,,
div,col-lg-12 pull-left mt-4 pl-0,Comentarios:,,
div,row mx-md-4 mx-1,ADATAAeroCoolAMDAOCAppleAsrockAsusAureoxCooler MasterCorsairCrucialDeep CoolDellEVGAGame ProGeniusGi,,
li,col-md-12 col-xl-3 pl-0 ml-0 pull-left,AOC,,
li,col-md-12 col-xl-3 pl-0 ml-0 pull-left,Asrock,,
li,col-md-12 col-xl-3 pl-0 ml-0 pull-left,Aureox,,
li,col-md-12 col-xl-3 pl-0 ml-0 pull-left,Deep Cool,,
li,col-md-12 col-xl-3 pl-0 ml-0 pull-left,EVGA,,
li,col-md-12 col-xl-3 pl-0 ml-0 pull-left,Game Pro,,
li,col-md-12 col-xl-3 pl-0 ml-0 pull-left,Hyper X,,
li,col-md-12 col-xl-3 pl-0 ml-0 pull-left,ID-COOLING,,
li,col-md-12 col-xl-3 pl-0 ml-0 pull-left,Kolink,,
li,col-md-12 col-xl-3 pl-0 ml-0 pull-left,Lexar,,
li,col-md-12 col-xl-3 pl-0 ml-0 pull-left,MarkVision,,
li,col-md-12 col-xl-3 pl-0 ml-0 pull-left,Mercusys,,
li,col-md-12 col-xl-3 pl-0 ml-0 pull-left,Naxido,,
li,col-md-12 col-xl-3 pl-0 ml-0 pull-left,Noblex,,
li,col-md-12 col-xl-3 pl-0 ml-0 pull-left,Noxi,,
li,col-md-12 col-xl-3 pl-0 ml-0 pull-left,Patriot,,
li,col-md-12 col-xl-3 pl-0 ml-0 pull-left,Philips,,
li,col-md-12 col-xl-3 pl-0 ml-0 pull-left,Seagate,,
